locus_tag,WT.INPUT,WT.RHIZO,WT.GIFU,WT.NFR5,WT.COL0,NS.INPUT,NS.RHIZO,NS.GIFU,NS.NFR5,NS.COL0
R7A2020_13070,0.063,0.099,0.063,0.045,0.018,0.036,0.108,0.009,0.063,0.045
R7A2020_13075,0.058,0.062,0.038,0.028,0.02,0.054,0.084,0.03,0.04,0.042
R7A2020_13080,0.079,0.121,0.071,0.053,0.049,0.078,0.101,0.056,0.052,0.046
R7A2020_13085,0.036,0.052,0.025,0.026,0.018,0.032,0.065,0.023,0.026,0.026
R7A2020_13090,0.077,0.091,0.047,0.047,0.04,0.061,0.114,0.056,0.056,0.045
R7A2020_13095,0.066,0.117,0.055,0.063,0.054,0.076,0.128,0.07,0.068,0.051
R7A2020_13100,0.058,0.09,0.045,0.058,0.026,0.064,0.096,0.045,0.058,0.038
R7A2020_13105,0.09,0.147,0.096,0.071,0.071,0.077,0.109,0.058,0.064,0.064
R7A2020_13110,0.051,0.075,0.035,0.027,0.03,0.053,0.09,0.045,0.027,0.037
R7A2020_13115,0.018,0.042,0.012,0.012,0.024,0.036,0.054,0.024,0.024,0.012
R7A2020_13120,0.03,0.061,0.015,0.036,0.015,0.02,0.076,0.036,0.03,0.02
R7A2020_13125,0.038,0.081,0.032,0.011,0.054,0.043,0.114,0.016,0.043,0.07
R7A2020_13130,0.048,0.09,0.054,0.042,0.026,0.035,0.067,0.032,0.042,0.026
R7A2020_13135,0.067,0.107,0.067,0.054,0.057,0.06,0.107,0.047,0.064,0.05
R7A2020_13140,0.071,0.067,0.038,0.01,0.043,0.038,0.086,0.029,0.038,0.033
R7A2020_13145,0.084,0.096,0.056,0.044,0.044,0.068,0.139,0.056,0.056,0.06
R7A2020_13150,0.056,0.103,0.052,0.05,0.042,0.059,0.103,0.054,0.05,0.043
R7A2020_13155,0.059,0.103,0.065,0.043,0.054,0.059,0.097,0.038,0.043,0.027
R7A2020_13160,0.054,0.069,0.02,0.034,0.039,0.039,0.059,0.025,0.029,0.029
R7A2020_13165,0.057,0.124,0.077,0.059,0.05,0.075,0.129,0.05,0.06,0.06
R7A2020_13170,0.078,0.116,0.067,0.051,0.054,0.077,0.137,0.073,0.074,0.061
R7A2020_13175,0.065,0.116,0.053,0.05,0.062,0.056,0.107,0.048,0.054,0.035
R7A2020_13180,0.076,0.151,0.082,0.074,0.075,0.089,0.147,0.079,0.072,0.069
R7A2020_13185,0.07,0.15,0.078,0.078,0.073,0.074,0.15,0.084,0.083,0.066
R7A2020_13190,0.079,0.135,0.077,0.067,0.069,0.083,0.156,0.081,0.085,0.063
R7A2020_13195,0.07,0.139,0.079,0.059,0.069,0.062,0.125,0.06,0.068,0.049
R7A2020_13200,0.086,0.129,0.073,0.07,0.062,0.082,0.144,0.073,0.071,0.061
R7A2020_13205,0.065,0.119,0.068,0.056,0.061,0.077,0.159,0.087,0.071,0.071
R7A2020_13210,0.1,0.164,0.085,0.07,0.085,0.102,0.18,0.089,0.079,0.077
R7A2020_13215,0.056,0.092,0.046,0.039,0.039,0.048,0.085,0.045,0.033,0.035
R7A2020_13220,0.05,0.106,0.061,0.049,0.042,0.055,0.098,0.048,0.041,0.043
R7A2020_13225,0.082,0.104,0.056,0.052,0.041,0.059,0.097,0.078,0.026,0.03
R7A2020_13230,0.063,0.057,0.026,0.021,0.036,0.052,0.094,0.042,0.036,0.052
R7A2020_13235,0.062,0.101,0.049,0.049,0.045,0.054,0.103,0.049,0.045,0.041
R7A2020_13240,0.073,0.098,0.053,0.065,0.024,0.049,0.093,0.057,0.049,0.033
R7A2020_13245,0.034,0.065,0.034,0.017,0.031,0.037,0.068,0.028,0.03,0.022
R7A2020_13250,0.038,0.069,0.026,0.033,0.03,0.037,0.079,0.029,0.041,0.031
R7A2020_13255,0.046,0.091,0.04,0.038,0.035,0.046,0.089,0.049,0.036,0.029
R7A2020_13260,0.076,0.114,0.072,0.061,0.043,0.064,0.117,0.058,0.063,0.034
R7A2020_13265,0.009,0.033,0.012,0.01,0.013,0.012,0.036,0.011,0.015,0.012
R7A2020_13270,0.062,0.096,0.055,0.042,0.041,0.043,0.093,0.037,0.051,0.036
R7A2020_13275,0.026,0.058,0.034,0.024,0.013,0.021,0.053,0.026,0.019,0.011
R7A2020_13280,0.055,0.085,0.045,0.032,0.036,0.04,0.098,0.049,0.053,0.028
R7A2020_13285,0.078,0.126,0.069,0.056,0.056,0.064,0.133,0.068,0.07,0.056
R7A2020_13290,0.03,0.057,0.032,0.025,0.021,0.023,0.051,0.021,0.021,0.021
R7A2020_13295,0.068,0.124,0.073,0.045,0.04,0.045,0.107,0.051,0.045,0.04
R7A2020_13300,0.075,0.113,0.054,0.054,0.059,0.038,0.079,0.029,0.05,0.029
R7A2020_13305,0.063,0.095,0.054,0.044,0.048,0.048,0.113,0.056,0.049,0.049
R7A2020_13310,0.048,0.1,0.038,0.052,0.038,0.062,0.114,0.052,0.057,0.052
R7A2020_13315,0.078,0.133,0.071,0.078,0.047,0.067,0.11,0.031,0.055,0.063
R7A2020_13320,0.051,0.104,0.045,0.046,0.051,0.065,0.095,0.053,0.045,0.042
R7A2020_13325,0.053,0.095,0.053,0.043,0.044,0.071,0.108,0.049,0.056,0.036
R7A2020_13330,0.093,0.146,0.083,0.059,0.07,0.075,0.132,0.075,0.076,0.051
R7A2020_13335,0.064,0.119,0.06,0.055,0.035,0.074,0.135,0.064,0.064,0.068
R7A2020_13340,0.075,0.134,0.064,0.067,0.054,0.077,0.149,0.067,0.067,0.064
R7A2020_13345,0.059,0.077,0.04,0.035,0.035,0.042,0.082,0.025,0.04,0.035
R7A2020_13350,0.04,0.084,0.046,0.025,0.044,0.042,0.094,0.048,0.038,0.029
R7A2020_13355,0.049,0.086,0.033,0.035,0.051,0.035,0.094,0.041,0.045,0.041
R7A2020_13360,0.052,0.09,0.045,0.034,0.037,0.052,0.099,0.034,0.056,0.028
R7A2020_13365,0.07,0.119,0.069,0.05,0.044,0.047,0.101,0.055,0.049,0.037
R7A2020_13370,0.065,0.133,0.065,0.043,0.065,0.061,0.115,0.047,0.043,0.061
R7A2020_13375,0.053,0.105,0.034,0.041,0.056,0.064,0.079,0.026,0.034,0.06
R7A2020_13380,0.054,0.086,0.041,0.043,0.037,0.054,0.099,0.051,0.041,0.047
R7A2020_13385,0.072,0.11,0.051,0.059,0.045,0.08,0.096,0.04,0.043,0.056
R7A2020_13390,0.045,0.096,0.053,0.043,0.04,0.064,0.112,0.053,0.069,0.037
R7A2020_13395,0.074,0.1,0.055,0.045,0.052,0.049,0.074,0.042,0.026,0.045
R7A2020_13400,0.066,0.123,0.071,0.049,0.057,0.073,0.108,0.051,0.071,0.042
R7A2020_13405,0.056,0.106,0.051,0.049,0.054,0.057,0.11,0.061,0.051,0.044
R7A2020_13410,0.068,0.117,0.067,0.057,0.054,0.075,0.137,0.068,0.074,0.059
R7A2020_13415,0.048,0.08,0.042,0.037,0.033,0.051,0.094,0.046,0.046,0.031
R7A2020_13420,0.058,0.064,0.03,0.035,0.026,0.056,0.082,0.036,0.04,0.035
R7A2020_13425,0.056,0.08,0.04,0.033,0.035,0.04,0.087,0.033,0.037,0.026
R7A2020_13430,0.065,0.116,0.065,0.048,0.05,0.052,0.125,0.062,0.059,0.042
R7A2020_13435,0.061,0.087,0.038,0.045,0.04,0.062,0.099,0.048,0.051,0.031
R7A2020_13440,0.076,0.122,0.074,0.056,0.042,0.06,0.125,0.05,0.066,0.057
R7A2020_13445,0.056,0.099,0.048,0.041,0.04,0.057,0.108,0.043,0.052,0.039
R7A2020_13450,0.068,0.12,0.058,0.057,0.052,0.063,0.117,0.051,0.06,0.047
R7A2020_13455,0.056,0.108,0.041,0.058,0.042,0.062,0.112,0.061,0.06,0.042
R7A2020_13460,0.031,0.071,0.024,0.028,0.043,0.031,0.071,0.024,0.039,0.031
R7A2020_13465,0.034,0.053,0.027,0.019,0.019,0.019,0.064,0.015,0.027,0.03
R7A2020_13470,0.074,0.114,0.068,0.055,0.041,0.066,0.099,0.055,0.046,0.042
R7A2020_13475,0.076,0.136,0.075,0.063,0.063,0.067,0.127,0.06,0.067,0.051
R7A2020_13480,0.071,0.124,0.059,0.066,0.056,0.074,0.118,0.059,0.063,0.047
R7A2020_13485,0.086,0.141,0.067,0.072,0.071,0.078,0.131,0.063,0.076,0.057
R7A2020_13490,0.042,0.093,0.033,0.051,0.033,0.051,0.051,0.028,0.028,0.019
R7A2020_13495,0.048,0.086,0.044,0.041,0.027,0.05,0.09,0.036,0.044,0.031
R7A2020_13500,0.034,0.065,0.023,0.015,0.046,0.023,0.077,0.034,0.031,0.034
R7A2020_13505,0.051,0.079,0.046,0.024,0.027,0.046,0.084,0.029,0.037,0.048
R7A2020_13510,0.047,0.112,0.05,0.057,0.045,0.048,0.09,0.039,0.044,0.034
R7A2020_13515,0.031,0.065,0.027,0.015,0.031,0.046,0.05,0.015,0.034,0.019
R7A2020_13520,0.039,0.059,0.026,0.033,0.013,0.013,0.053,0.013,0.013,0.026
R7A2020_13525,0.058,0.087,0.043,0.038,0.044,0.037,0.09,0.038,0.042,0.032
R7A2020_13530,0.038,0.086,0.042,0.043,0.029,0.043,0.067,0.034,0.029,0.021
R7A2020_13535,0.067,0.081,0.047,0.047,0.044,0.064,0.092,0.039,0.056,0.039
R7A2020_13540,0.036,0.072,0.036,0.026,0.032,0.031,0.08,0.03,0.031,0.027
R7A2020_13545,0.067,0.126,0.058,0.058,0.063,0.08,0.109,0.057,0.055,0.036
R7A2020_13550,0.021,0.06,0.026,0.03,0.026,0.034,0.06,0.021,0.017,0.03
R7A2020_13555,0.05,0.088,0.04,0.044,0.045,0.052,0.114,0.059,0.052,0.042
R7A2020_13560,0.048,0.084,0.038,0.037,0.037,0.04,0.081,0.035,0.044,0.027
R7A2020_13565,0.004,0.008,0.008,0.004,0,0.004,0.008,0,0.004,0.004
