locus_tag,INPUT,RHIZO,GIFU,NFR5,COL0,ES,TY,GR,state
R7A2020_29940,0.011,0.043,0.023,0.02,0.011,0.08,0.031,0.031,NE
R7A2020_29945,0.02,0.064,0.026,0.03,0.02,0.082,0.042,0.028,NE
R7A2020_29950,0.039,0.067,0.035,0.02,0.027,0.108,0.039,0.028,NE
R7A2020_29955,0.048,0.078,0.033,0.034,0.037,0.135,0.047,0.027,NE
R7A2020_29960,0.045,0.088,0.048,0.027,0.035,0.147,0.061,0.052,NE
R7A2020_29965,0.049,0.088,0.039,0.01,0.039,0.098,0.069,0.01,NE
R7A2020_29970,0.037,0.071,0.034,0.031,0.024,0.082,0.027,0.031,NE
R7A2020_29975,0.017,0.024,0.012,0.007,0.007,0.07,0.031,0.022,NE
R7A2020_29980,0.005,0.01,0.004,0.003,0.006,0.043,0.018,0.021,NE
R7A2020_29985,0.008,0.012,0.004,0.006,0.003,0.04,0.02,0.011,NE
R7A2020_29990,0.006,0.014,0.007,0.002,0.004,0.035,0.021,0.008,NE
R7A2020_29995,0.035,0.038,0.016,0.013,0.019,0.087,0.038,0.03,NE
R7A2020_30000,0.018,0.03,0.013,0.01,0.009,0.101,0.052,0.037,NE
R7A2020_30005,0.011,0.028,0.011,0.007,0.017,0.073,0.041,0.02,NE
R7A2020_30010,0.029,0.049,0.03,0.018,0.016,0.124,0.063,0.039,NE
R7A2020_30015,0.022,0.032,0.015,0.012,0.015,0.099,0.038,0.032,NE
R7A2020_30020,0.033,0.049,0.022,0.022,0.016,0.123,0.033,0.045,NE
R7A2020_30025,0.025,0.034,0.009,0.02,0.002,0.094,0.036,0.027,NE
R7A2020_30030,0.041,0.074,0.04,0.032,0.029,0.116,0.051,0.029,NE
R7A2020_30035,0.038,0.059,0.03,0.013,0.025,0.148,0.059,0.051,NE
R7A2020_30040,0.041,0.055,0.023,0.025,0.023,0.11,0.041,0.031,NE
R7A2020_30045,0.02,0.031,0.011,0.007,0.013,0.079,0.033,0.022,NE
R7A2020_30050,0.037,0.066,0.033,0.018,0.029,0.117,0.048,0.029,NE
R7A2020_30055,0.025,0.068,0.031,0.032,0.025,0.097,0.043,0.029,NE
R7A2020_30060,0.008,0.027,0.009,0.009,0.006,0.038,0.019,0.014,NE
R7A2020_30065,0.007,0.016,0.008,0.007,0.007,0.036,0.013,0.013,NE
R7A2020_30070,0.004,0.008,0.001,0.003,0.004,0.024,0.007,0.011,ICE-ES
R7A2020_30075,0.018,0.025,0.008,0.009,0.011,0.077,0.036,0.028,NE
R7A2020_30080,0.007,0.01,0.003,0.003,0.004,0.043,0.019,0.016,NE
R7A2020_30085,0,0.009,0.002,0.001,0.005,0.027,0.017,0.013,ICE-ES
R7A2020_30090,0,0.008,0.005,0.005,0.003,0.005,0.005,0,ICE-ES
R7A2020_30095,0.005,0,0,0,0,0.044,0.034,0.019,NE
R7A2020_30100,0.007,0.015,0.006,0.007,0.003,0.044,0.025,0.015,NE
R7A2020_30105,0.024,0.033,0.02,0.012,0.02,0.082,0.041,0.037,NE
R7A2020_30110,0.011,0.02,0.012,0.005,0.004,0.044,0.021,0.017,NE
R7A2020_30115,0.008,0.013,0.002,0.008,0.005,0.045,0.017,0.013,NE
R7A2020_30120,0.007,0.012,0.005,0.006,0.001,0.042,0.018,0.013,NE
R7A2020_30125,0.031,0.052,0.022,0.016,0.017,0.104,0.035,0.031,NE
R7A2020_30130,0.025,0.047,0.019,0.017,0.019,0.087,0.053,0.017,NE
R7A2020_30135,0.038,0.065,0.029,0.03,0.028,0.102,0.042,0.028,NE
R7A2020_30140,0.032,0.052,0.024,0.032,0.02,0.113,0.069,0.056,NE
R7A2020_30145,0.049,0.074,0.047,0.03,0.022,0.12,0.054,0.025,NE
R7A2020_30150,0.032,0.062,0.028,0.025,0.026,0.123,0.05,0.033,NE
R7A2020_30155,0.024,0.046,0.018,0.017,0.021,0.098,0.043,0.039,NE
R7A2020_30160,0.011,0.017,0.01,0.004,0.007,0.041,0.015,0.007,NE
R7A2020_30165,0.055,0.06,0.035,0.04,0.025,0.13,0.035,0.035,NE
R7A2020_30170,0.026,0.037,0.018,0.018,0.007,0.099,0.037,0.029,NE
R7A2020_30175,0.015,0.031,0.01,0.013,0.023,0.053,0.028,0.013,NE
R7A2020_30180,0.039,0.039,0.025,0.005,0.02,0.084,0.025,0.025,NE
R7A2020_30185,0.028,0.048,0.022,0.017,0.02,0.103,0.052,0.022,NE
R7A2020_30190,0.036,0.066,0.023,0.036,0.03,0.109,0.04,0.017,NE
R7A2020_30195,0.021,0.04,0.014,0.017,0.013,0.089,0.048,0.022,NE
R7A2020_30200,0.031,0.046,0.02,0.014,0.021,0.09,0.032,0.019,NE
R7A2020_30205,0,0.004,0,0,0.004,0.078,0.059,0.031,ICE-TB-ES
R7A2020_30210,0.031,0.025,0.014,0.014,0.008,0.084,0.028,0.022,NE
R7A2020_30215,0.038,0.054,0.021,0.025,0.029,0.138,0.079,0.054,NE
R7A2020_30220,0.037,0.048,0.022,0.019,0.019,0.117,0.045,0.036,NE
R7A2020_30225,0,0.05,0,0.017,0.033,0.017,0.017,0,ICE-ES
R7A2020_30230,0.011,0.048,0.026,0.015,0.007,0.048,0.033,0.026,NE
R7A2020_30235,0.015,0.026,0,0.011,0.011,0.055,0.015,0.022,NE
R7A2020_30240,0.023,0.052,0.023,0.023,0.017,0.069,0.034,0.017,NE
R7A2020_30245,0.017,0.026,0.017,0.003,0.012,0.069,0.032,0.02,NE
R7A2020_30250,0.025,0.043,0.014,0.022,0.018,0.099,0.046,0.021,NE
R7A2020_30255,0.006,0.006,0.003,0.002,0.003,0.021,0.005,0.005,ICE-ES
R7A2020_30260,0.014,0.023,0.011,0.011,0.007,0.066,0.036,0.02,NE
R7A2020_30265,0.025,0.032,0.007,0.004,0.021,0.089,0.036,0.025,NE
R7A2020_30270,0.034,0.017,0,0.017,0.006,0.078,0.028,0.006,NE
R7A2020_30275,0.009,0.022,0.008,0.008,0.009,0.062,0.03,0.025,NE
R7A2020_30280,0.044,0.06,0.025,0.024,0.028,0.115,0.058,0.024,NE
R7A2020_30285,0.038,0.044,0.015,0.02,0.02,0.094,0.015,0.035,NE
R7A2020_30290,0.046,0.071,0.042,0.029,0.034,0.109,0.044,0.032,NE
R7A2020_30295,0.033,0.057,0.021,0.022,0.029,0.108,0.056,0.028,NE
R7A2020_30300,0.049,0.07,0.036,0.04,0.024,0.133,0.052,0.021,NE
R7A2020_30305,0.042,0.056,0.025,0.029,0.027,0.103,0.032,0.022,NE
R7A2020_30310,0.042,0.052,0.019,0.028,0.019,0.106,0.038,0.035,NE
R7A2020_30315,0.038,0.068,0.037,0.032,0.026,0.109,0.042,0.031,NE
R7A2020_30320,0.033,0.064,0.033,0.028,0.024,0.106,0.043,0.029,NE
