locus_tag	ins_index.NSES	ins_index.WTES
R7A2020_02220	0.058	0.080
R7A2020_02220	0.058	0.080
R7A2020_02225	0.109	0.092
R7A2020_02225	0.109	0.092
R7A2020_02230	0.194	0.185
R7A2020_02235	0.131	0.107
R7A2020_02235	0.131	0.107
R7A2020_02240	0.173	0.214
R7A2020_02245	0.112	0.128
R7A2020_02245	0.112	0.128
R7A2020_02250	0.206	0.192
R7A2020_02255	0.208	0.186
R7A2020_02260	0.187	0.168
R7A2020_02265	0.140	0.151
R7A2020_02270	0.212	0.196
R7A2020_02275	0.161	0.142
R7A2020_02280	0.175	0.151
R7A2020_02285	0.160	0.170
R7A2020_02290	0.145	0.152
R7A2020_02295	0.181	0.167
R7A2020_02300	0.155	0.117
R7A2020_02305	0.135	0.151
R7A2020_02310	0.171	0.159
R7A2020_02315	0.177	0.154
R7A2020_02320	0.167	0.171
R7A2020_02325	0.171	0.182
R7A2020_02330	0.185	0.175
R7A2020_02335	0.170	0.157
R7A2020_02340	0.167	0.177
R7A2020_02345	0.144	0.166
R7A2020_02350	0.165	0.156
R7A2020_02355	0.160	0.170
R7A2020_02360	0.173	0.156
R7A2020_02365	0.211	0.183
R7A2020_02370	0.128	0.090
R7A2020_02375	0.150	0.172
R7A2020_02380	0.166	0.166
R7A2020_02385	0.200	0.211
R7A2020_02390	0.187	0.224
R7A2020_02395	0.203	0.182
R7A2020_02400	0.162	0.097
R7A2020_02405	0.166	0.190
R7A2020_02410	0.173	0.174
R7A2020_02415	0.173	0.183
R7A2020_02420	0.187	0.185
R7A2020_02425	0.137	0.129
R7A2020_02430	0.150	0.181
R7A2020_02435	0.000	0.000
R7A2020_02440	0.133	0.149
R7A2020_02445	0.162	0.160
R7A2020_02450	0.165	0.150
R7A2020_02455	0.187	0.184
R7A2020_02460	0.180	0.161
R7A2020_02465	0.130	0.138
R7A2020_02470	0.155	0.138
R7A2020_02475	0.147	0.136
R7A2020_02480	0.101	0.101
R7A2020_02485	0.202	0.191
R7A2020_02490	0.124	0.140
R7A2020_02495	0.124	0.128
R7A2020_02500	0.297	0.224
R7A2020_02505	0.207	0.218
R7A2020_02510	0.192	0.164
R7A2020_02515	0.194	0.215
R7A2020_02520	0.170	0.175
R7A2020_02525	0.166	0.166
R7A2020_02530	0.138	0.110
R7A2020_02535	0.207	0.187
R7A2020_02540	0.219	0.173
R7A2020_02545	0.168	0.171
R7A2020_02550	0.150	0.128
R7A2020_02555	0.203	0.170
R7A2020_02560	0.098	0.137
R7A2020_02565	0.161	0.150
R7A2020_02570	0.101	0.069
R7A2020_02570	0.101	0.069
R7A2020_02575	0.162	0.166
R7A2020_02580	0.183	0.189
R7A2020_02585	0.160	0.140
R7A2020_02590	0.132	0.172
R7A2020_02595	0.147	0.159
R7A2020_02600	0.152	0.172
R7A2020_02605	0.132	0.135
R7A2020_02610	0.170	0.151
R7A2020_02615	0.144	0.131
R7A2020_02620	0.155	0.172
R7A2020_02625	0.154	0.138
R7A2020_02630	0.136	0.178
R7A2020_02635	0.180	0.153
R7A2020_02640	0.137	0.158
R7A2020_02645	0.130	0.128
R7A2020_02650	0.198	0.202
R7A2020_02655	0.163	0.150
R7A2020_02660	0.211	0.219
R7A2020_02665	0.197	0.181
R7A2020_02670	0.172	0.190
R7A2020_02675	0.200	0.198
R7A2020_02680	0.205	0.205
R7A2020_02685	0.166	0.167
R7A2020_02690	0.200	0.155
R7A2020_02695	0.006	0.128
R7A2020_02700	0.135	0.160
R7A2020_02705	0.179	0.184
R7A2020_02710	0.146	0.137
R7A2020_02715	0.153	0.156
R7A2020_02720	0.200	0.194
R7A2020_02725	0.176	0.183
R7A2020_02730	0.172	0.164
R7A2020_02735	0.138	0.133
R7A2020_02740	0.183	0.160
R7A2020_02745	0.146	0.147
R7A2020_02750	0.157	0.156
R7A2020_02755	0.182	0.172
R7A2020_02760	0.149	0.151
R7A2020_02765	0.159	0.147
R7A2020_02770	0.145	0.137
R7A2020_02775	0.171	0.167
R7A2020_02780	0.195	0.173
R7A2020_02785	0.129	0.161
R7A2020_02790	0.153	0.144
R7A2020_02795	0.162	0.158
R7A2020_02800	0.117	0.090
R7A2020_02805	0.175	0.160
R7A2020_02810	0.155	0.167
R7A2020_02815	0.170	0.166
R7A2020_02820	0.157	0.151
R7A2020_02825	0.160	0.139
R7A2020_02830	0.147	0.134
R7A2020_02835	0.007	0.007
R7A2020_02840	0.007	0.014
R7A2020_02845	0.146	0.134
R7A2020_02850	0.044	0.082
R7A2020_02850	0.044	0.082
R7A2020_02855	0.164	0.168
R7A2020_02860	0.004	0.001
R7A2020_02865	0.216	0.187
R7A2020_02870	0.180	0.165
R7A2020_02875	0.211	0.186
R7A2020_02880	0.149	0.159
R7A2020_02885	0.005	0.000
R7A2020_02890	0.129	0.107
R7A2020_02895	0.154	0.157
R7A2020_02900	0.153	0.181
R7A2020_02905	0.118	0.118
R7A2020_02910	0.181	0.176
R7A2020_02915	0.238	0.207
R7A2020_02920	0.181	0.160
R7A2020_02925	0.100	0.126
R7A2020_02930	0.121	0.121
R7A2020_02935	0.151	0.119
R7A2020_02940	0.173	0.144
R7A2020_02945	0.165	0.170
R7A2020_02950	0.174	0.173
R7A2020_02955	0.226	0.182
R7A2020_02960	0.013	0.013
R7A2020_02965	0.184	0.173
R7A2020_02970	0.168	0.170
R7A2020_02975	0.160	0.150
R7A2020_02980	0.210	0.183
R7A2020_02985	0.161	0.161
R7A2020_02990	0.163	0.150
R7A2020_02995	0.244	0.227
R7A2020_03000	0.093	0.093
R7A2020_03005	0.007	0.007
R7A2020_03010	0.176	0.200
R7A2020_03015	0.268	0.241
R7A2020_03020	0.001	0.001
R7A2020_03025	0.003	0.007
R7A2020_03030	0.043	0.095
R7A2020_03030	0.043	0.095
R7A2020_03035	0.182	0.202
R7A2020_03040	0.000	0.000
R7A2020_03045	0.110	0.096
R7A2020_03050	0.124	0.112
R7A2020_03055	0.165	0.200
R7A2020_03060	0.190	0.147
R7A2020_03065	0.139	0.115
R7A2020_03070	0.111	0.108
R7A2020_03075	0.106	0.155
R7A2020_03080	0.114	0.108
R7A2020_03085	0.150	0.166
R7A2020_03090	0.173	0.213
R7A2020_03095	0.140	0.158
R7A2020_03100	0.122	0.114
R7A2020_03105	0.177	0.171
R7A2020_03110	0.138	0.128
R7A2020_03115	0.195	0.167
R7A2020_03120	0.227	0.194
R7A2020_03125	0.139	0.143
R7A2020_03130	0.170	0.176
R7A2020_03135	0.134	0.164
R7A2020_03140	0.192	0.199
R7A2020_03145	0.152	0.165
R7A2020_03150	0.163	0.152
R7A2020_03155	0.183	0.164
R7A2020_03160	0.017	0.010
R7A2020_03165	0.220	0.168
R7A2020_03170	0.195	0.179
R7A2020_03175	0.241	0.186
R7A2020_03180	0.167	0.183
R7A2020_03185	0.200	0.206
R7A2020_03190	0.199	0.171
R7A2020_03195	0.113	0.130
R7A2020_03200	0.164	0.162
R7A2020_03205	0.167	0.154
R7A2020_03210	0.189	0.166
R7A2020_03215	0.141	0.147
R7A2020_03220	0.140	0.135
R7A2020_03225	0.174	0.192
R7A2020_03230	0.086	0.064
R7A2020_03235	0.044	0.046
R7A2020_03240	0.192	0.170
R7A2020_03245	0.210	0.193
R7A2020_03250	0.213	0.209
R7A2020_03255	0.130	0.134
R7A2020_03260	0.019	0.009
R7A2020_03265	0.254	0.255
R7A2020_03270	0.193	0.195
R7A2020_03275	0.001	0.000
R7A2020_03280	0.003	0.007
R7A2020_03285	0.141	0.124
R7A2020_03290	0.130	0.128
R7A2020_03295	0.137	0.188
R7A2020_03300	0.146	0.126
R7A2020_03305	0.212	0.209
R7A2020_03310	0.216	0.148
R7A2020_03315	0.176	0.189
R7A2020_03320	0.177	0.146
R7A2020_03325	0.185	0.180
R7A2020_03330	0.195	0.168
R7A2020_03335	0.182	0.168
R7A2020_03340	0.202	0.193
R7A2020_03345	0.242	0.226
R7A2020_03350	0.175	0.155
R7A2020_03355	0.201	0.201
R7A2020_03360	0.105	0.102
R7A2020_03360	0.105	0.102
R7A2020_03365	0.173	0.143
R7A2020_03370	0.158	0.120
R7A2020_03375	0.133	0.118
R7A2020_03380	0.186	0.185
R7A2020_03385	0.227	0.200
R7A2020_03390	0.182	0.194
R7A2020_03395	0.172	0.195
R7A2020_03400	0.167	0.123
R7A2020_03405	0.180	0.167
R7A2020_03410	0.187	0.201
R7A2020_03415	0.213	0.213
R7A2020_03420	0.189	0.205
R7A2020_03425	0.193	0.206
R7A2020_03430	0.215	0.214
R7A2020_03435	0.242	0.248
R7A2020_03440	0.132	0.112
R7A2020_03445	0.133	0.174
R7A2020_03450	0.197	0.205
R7A2020_03455	0.239	0.210
R7A2020_03460	0.130	0.112
R7A2020_03465	0.071	0.053
R7A2020_03470	0.000	0.000
R7A2020_03475	0.212	0.189
R7A2020_03480	0.027	0.026
R7A2020_03485	0.004	0.002
R7A2020_03490	0.126	0.147
R7A2020_03495	0.218	0.185
R7A2020_03500	0.193	0.175
R7A2020_03505	0.187	0.176
R7A2020_03510	0.068	0.075
R7A2020_03515	0.031	0.031
R7A2020_03520	0.223	0.158
R7A2020_03525	0.194	0.150
R7A2020_03530	0.138	0.126
R7A2020_03535	0.105	0.105
R7A2020_03540	0.178	0.123
R7A2020_03545	0.194	0.159
R7A2020_03550	0.177	0.177
R7A2020_03555	0.171	0.163
R7A2020_03560	0.134	0.134
R7A2020_03565	0.139	0.127
R7A2020_03570	0.129	0.141
R7A2020_03575	0.193	0.189
R7A2020_03580	0.159	0.150
R7A2020_03585	0.179	0.159
R7A2020_03590	0.228	0.208
R7A2020_03595	0.206	0.186
R7A2020_03600	0.175	0.168
R7A2020_03605	0.135	0.127
R7A2020_03610	0.167	0.200
R7A2020_03615	0.167	0.146
R7A2020_03620	0.162	0.176
R7A2020_03625	0.183	0.196
R7A2020_03630	0.162	0.153
R7A2020_03635	0.194	0.165
R7A2020_03640	0.167	0.150
R7A2020_03645	0.205	0.213
R7A2020_03650	0.106	0.095
R7A2020_03655	0.240	0.202
R7A2020_03660	0.170	0.171
R7A2020_03665	0.171	0.162
R7A2020_03670	0.223	0.202
R7A2020_03675	0.111	0.098
R7A2020_03680	0.134	0.114
R7A2020_03685	0.174	0.147
R7A2020_03690	0.174	0.152
R7A2020_03695	0.160	0.142
R7A2020_03700	0.115	0.131
R7A2020_03705	0.213	0.234
R7A2020_03710	0.204	0.231
R7A2020_03715	0.185	0.185
R7A2020_03720	0.152	0.150
R7A2020_03725	0.180	0.174
R7A2020_03730	0.106	0.099
R7A2020_03735	0.182	0.188
R7A2020_03740	0.222	0.146
R7A2020_03745	0.183	0.193
R7A2020_03750	0.179	0.190
R7A2020_03755	0.204	0.188
R7A2020_03760	0.138	0.177
R7A2020_03765	0.095	0.138
R7A2020_03770	0.208	0.204
R7A2020_03775	0.141	0.193
R7A2020_03780	0.165	0.188
R7A2020_03785	0.195	0.175
R7A2020_03790	0.180	0.183
R7A2020_03795	0.208	0.159
R7A2020_03800	0.243	0.239
R7A2020_03805	0.193	0.162
R7A2020_03810	0.171	0.118
R7A2020_03815	0.146	0.143
R7A2020_03820	0.208	0.167
R7A2020_03825	0.147	0.156
R7A2020_03830	0.130	0.121
R7A2020_03835	0.162	0.133
R7A2020_03840	0.257	0.252
R7A2020_03845	0.189	0.178
R7A2020_03850	0.177	0.123
R7A2020_03855	0.174	0.169
R7A2020_03860	0.082	0.061
R7A2020_03865	0.168	0.156
R7A2020_03870	0.233	0.188
R7A2020_03875	0.025	0.015
R7A2020_03880	0.074	0.057
