locus_tag	ins_index.NSTY	ins_index.WTTY
R7A2020_02030	0.046	0.063
R7A2020_02035	0.067	0.062
R7A2020_02040	0.085	0.069
R7A2020_02045	0.000	0.000
R7A2020_02050	0.069	0.084
R7A2020_02055	0.000	0.011
R7A2020_02060	0.012	0.015
R7A2020_02065	0.000	0.000
R7A2020_02070	0.050	0.036
R7A2020_02075	0.001	0.000
R7A2020_02080	0.060	0.057
R7A2020_02085	0.064	0.067
R7A2020_02090	0.054	0.063
R7A2020_02095	0.039	0.080
R7A2020_02100	0.035	0.059
R7A2020_02105	0.048	0.048
R7A2020_02110	0.045	0.048
R7A2020_02115	0.044	0.056
R7A2020_02120	0.071	0.057
R7A2020_02125	0.051	0.048
R7A2020_02130	0.060	0.074
R7A2020_02135	0.064	0.058
R7A2020_02140	0.039	0.060
R7A2020_02145	0.061	0.057
R7A2020_02150	0.042	0.040
R7A2020_02155	0.034	0.029
R7A2020_02160	0.054	0.066
R7A2020_02165	0.055	0.039
R7A2020_02170	0.066	0.065
R7A2020_02175	0.063	0.081
R7A2020_02180	0.036	0.043
R7A2020_02185	0.053	0.049
R7A2020_02190	0.042	0.046
R7A2020_02195	0.070	0.073
R7A2020_02200	0.040	0.046
R7A2020_02205	0.054	0.044
R7A2020_02210	0.044	0.058
R7A2020_02215	0.001	0.000
R7A2020_02220	0.004	0.000
R7A2020_02220	0.004	0.000
R7A2020_02225	0.001	0.003
R7A2020_02225	0.001	0.003
R7A2020_02230	0.048	0.050
R7A2020_02235	0.006	0.006
R7A2020_02235	0.006	0.006
R7A2020_02240	0.077	0.065
R7A2020_02245	0.011	0.004
R7A2020_02245	0.011	0.004
R7A2020_02250	0.054	0.047
R7A2020_02255	0.073	0.067
R7A2020_02260	0.062	0.062
R7A2020_02265	0.045	0.047
R7A2020_02270	0.082	0.071
R7A2020_02275	0.055	0.049
R7A2020_02280	0.046	0.054
R7A2020_02285	0.052	0.055
R7A2020_02290	0.033	0.056
R7A2020_02295	0.054	0.061
R7A2020_02300	0.044	0.027
R7A2020_02305	0.039	0.049
R7A2020_02310	0.056	0.053
R7A2020_02315	0.057	0.058
R7A2020_02320	0.048	0.058
R7A2020_02325	0.046	0.043
R7A2020_02330	0.041	0.059
R7A2020_02335	0.050	0.039
R7A2020_02340	0.032	0.052
R7A2020_02345	0.047	0.074
R7A2020_02350	0.054	0.038
R7A2020_02355	0.053	0.046
R7A2020_02360	0.051	0.053
R7A2020_02365	0.061	0.054
R7A2020_02370	0.037	0.032
R7A2020_02375	0.056	0.059
R7A2020_02380	0.035	0.056
R7A2020_02385	0.060	0.072
R7A2020_02390	0.069	0.065
R7A2020_02395	0.050	0.067
R7A2020_02400	0.032	0.022
R7A2020_02405	0.054	0.068
R7A2020_02410	0.044	0.053
R7A2020_02415	0.048	0.056
R7A2020_02420	0.052	0.064
R7A2020_02425	0.042	0.042
R7A2020_02430	0.042	0.070
R7A2020_02435	0.000	0.000
